Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total Cases,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU with COVID-19
1/26/2020,,,1,,,,,9,,
1/27/2020,,,2,,,,,19,,
1/28/2020,,,1,1,,,1,11,,
1/30/2020,,,0,2,,,2,27,,
1/31/2020,,,0,2,,,2,17,,
2/3/2020,,,0,3,,,3,29,,
2/4/2020,90,12,0,3,,,3,34,,
2/5/2020,96,8,0,3,,,3,43,,
2/6/2020,104,0,0,3,,,3,62,,
2/8/2020,130,25,0,3,,,3,39,,
2/10/2020,167,81,0,3,,,3,8,,
2/11/2020,184,79,0,3,,,3,19,,
2/12/2020,257,44,0,2,1,,3,9,,
2/13/2020,306,16,0,2,1,,3,15,,
2/14/2020,353,0,0,2,1,,3,8,,
2/17/2020,399,0,0,2,1,,3,0,,
2/18/2020,418,0,0,2,1,,3,0,,
2/19/2020,436,0,0,2,1,,3,17,,
2/20/2020,462,,0,1,2,,3,14,,
2/21/2020,483,,0,0,3,,3,12,,
2/24/2020,540,,0,1,3,,4,9,,
2/25/2020,568,,0,1,3,,4,21,,
2/26/2020,610,,1,1,3,,4,14,,
2/27/2020,672,,1,2,3,,5,21,,
2/28/2020,739,,1,3,3,,6,22,,
3/2/2020,975,,,15,3,,18,12,,
3/3/2020,1061,,,17,3,,20,45,,
3/4/2020,1216,,,17,3,,20,102,,
3/5/2020,1466,,,18,4,,22,78,,
3/6/2020,1665,,,22,4,,26,72,,
3/7/2020,1918,,,24,4,,28,36,,
3/8/2020,2094,,,25,4,,29,55,,
3/9/2020,2347,,,31,4,,35,22,,
3/10/2020,2599,,,31,5,,36,112,,
3/11/2020,2888,,,37,5,,42,465,,
3/12/2020,3590,,,54,5,,59,536,,
3/13/2020,4470,,,74,5,,79,580,,
3/14/2020,5606,,,98,5,,103,939,,
3/15/2020,7004,,,140,5,,145,1316,,
3/16/2020,8464,,,172,5,,177,1537,,
3/17/2020,9415,,,183,5,1,189,1567,,
3/18/2020,10305,,,208,5,1,214,3378,,
3/19/2020,12421,,,251,5,2,258,3971,,
3/20/2020,13718,,,311,5,2,318,5475,,
3/21/2020,15768,,,369,6,2,377,7239,,
3/22/2020,17634,,,412,8,5,425,8361,,
3/23/2020,19586,,,489,8,6,503,8417,,
3/24/2020,21795,,,572,8,8,588,10074,,
3/25/2020,24458,,,667,8,13,688,10489,,
3/26/2020,26727,,,835,8,15,858,10965,,
